measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280838_ims.csv	p1	0.47887	0	43.8771	839	0
BD18_1408280838_ims.csv	p2	0.54853	7.941	76.1271	960	16
BD18_1408280838_ims.csv	p3	0.59803	30.81	88.129	1046	62
BD18_1408280838_ims.csv	p5	0.59861	19.297	67.115	1047	39
BD18_1408280838_ims.csv	p7	0.59803	37.284	84.6573	1046	75
BD18_1408280838_ims.csv	p8	0.59861	56.207	258.955	1047	113
BD18_1408280838_ims.csv	p9	0.4973	6.958	31.1075	871	14
BD18_1408280838_ims.csv	p10	0.81332	29.297	135.451	1420	59
BD18_1408280838_ims.csv	p11	0.83922	29.297	96.5971	1465	59
BD18_1408280838_ims.csv	p12	0.85304	29.297	74.357	1489	59
BD18_1408280838_ims.csv	p13	0.64408	29.297	203.773	1126	59
BD18_1408280838_ims.csv	p14	0.92557	96.408	64.6476	1615	194
BD18_1408280838_ims.csv	p15	0.60724	99.419	45.7769	1062	200
