measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091743.csv	p1	0.47868	0	138.891	829	0
BD18_1510091743.csv	p4	0.59749	37.892	340.509	1033	76
BD18_1510091743.csv	p5	0.53517	2.995	33.8631	926	6
BD18_1510091743.csv	p6	0.64467	19.453	60.9647	1114	39
BD18_1510091743.csv	p7	1.04187	98.67	30.2552	1796	198
BD18_1510091743.csv	p8	0.45306	4.508	173.236	785	9
BD18_1510091743.csv	p9	0.80425	19.453	46.1337	1388	39
BD18_1510091743.csv	p10	0.58643	3.51	62.1763	1014	7
BD18_1510091743.csv	p11	0.95859	99.107	51.43	1653	199
BD18_1510091743.csv	p12	0.59807	56.768	197.781	1034	114
BD18_1510091743.csv	p13	0.97547	97.625	54.9758	1682	196
BD18_1510091743.csv	p14	0.60623	104.13	83.561	1048	209
BD18_1510091743.csv	p15	0.94985	97.094	55.2265	1638	195
BD18_1510091743.csv	p16	0.95451	97.625	52.9041	1646	196
BD18_1510091743.csv	p18	0.68893	67.719	34.4649	1190	136
BD18_1510091743.csv	p19	0.49499	11.466	106.683	857	23
BD18_1510091743.csv	p20	1.02789	97.094	34.9471	1772	195
BD18_1510091743.csv	p21	0.49732	5.553	203.658	861	11
BD18_1510091743.csv	p22	0.53517	11.029	56.9209	926	22
BD18_1510091743.csv	p23	0.81298	29.437	77.3655	1403	59
BD18_1510091743.csv	p25	0.84036	29.437	45.8434	1450	59
BD18_1510091743.csv	p26	0.54799	2.995	76.0534	948	6
BD18_1510091743.csv	p27	0.59749	28.907	173.434	1033	58
BD18_1510091743.csv	p29	0.59749	19.453	334.003	1033	39
BD18_1510091743.csv	p30	0.54799	7.488	919.836	948	15
BD18_1510091743.csv	p31	0.6435	29.437	315.138	1112	59
BD18_1510091743.csv	p32	1.00984	98.14	40.2487	1741	197
BD18_1510091743.csv	p33	0.92422	101.556	115.33	1594	204
BD18_1510091743.csv	p35	1.14088	97.625	60.2919	1966	196
BD18_1510091743.csv	p36	0.88811	117.062	42.7773	1532	235
BD18_1510091743.csv	p44	0.48218	148.387	33.2261	835	298
BD18_1510091743.csv	p46	0.94461	97.094	57.3731	1629	195
