"t"	"r"
"0"	47.928	0.0
"1"	59.745	37.774
"2"	49.382	43.306
"3"	52.643	2.401
"4"	50.254	9.791
"5"	64.431	19.486
"6"	50.036	21.005
"7"	103.563	98.301
"8"	45.24	4.384
"9"	80.401	19.426
"10"	51.255	21.403
"11"	58.642	3.525
"12"	96.505	98.949
"13"	59.79	56.737
"14"	50.91	52.518
"15"	97.35	97.098
"16"	60.62	104.325
"17"	94.713	98.039
"18"	95.811	96.868
"19"	68.864	66.978
"20"	65.002	45.786
"21"	51.128	51.753
"22"	49.841	11.959
"23"	50.237	16.154
"24"	101.332	96.65
"25"	49.585	5.591
"26"	52.648	11.529
"27"	58.775	16.396
"28"	50.235	15.218
"29"	81.299	29.404
"30"	68.539	32.418
"31"	84.345	29.422
"32"	53.664	1.837
"33"	51.671	7.685
"34"	59.736	28.884
"35"	49.277	24.929
"36"	59.751	19.443
"37"	54.171	7.482
"38"	64.329	28.525
"39"	101.045	97.81
"40"	92.405	102.019
"41"	114.032	97.34
"42"	88.797	117.174
"43"	48.494	148.607
"44"	73.861	94.599
"45"	68.88	83.601
"46"	94.546	96.113
"47"	75.747	7.925
"48"	54.789	7.469
"49"	84.974	19.617
"50"	89.838	27.815
"51"	82.821	19.617
"52"	51.302	12.48
"53"	66.381	30.363
"54"	83.801	19.406
"55"	58.745	11.341
"56"	84.615	19.406
"57"	71.735	27.74
"58"	50.286	23.907
"59"	84.869	29.835
"60"	98.756	96.321
"61"	100.001	96.278
"62"	104.587	97.234
"63"	102.589	97.656
"64"	101.792	98.876
"65"	44.895	3.22
"66"	50.36	0.0
"67"	49.666	0.0
"68"	46.241	148.831
"69"	98.029	100.497
"70"	99.844	99.179
"71"	47.994	81.771
"72"	48.304	147.061
"73"	62.356	108.654
"74"	47.054	142.81
"75"	45.436	16.577
"76"	44.736	24.89
