measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280844_ims.csv	p1	0.47876	0	36.8588	839	0
BD18_1408280844_ims.csv	p3	0.91672	29.453	31.0931	1600	59
BD18_1408280844_ims.csv	p4	0.64451	29.453	236.6	1127	59
BD18_1408280844_ims.csv	p5	0.92593	94.005	75.6373	1616	189
BD18_1408280844_ims.csv	p6	0.49718	6.474	36.0504	871	13
BD18_1408280844_ims.csv	p7	1.00017	96.486	42.1467	1745	194
BD18_1408280844_ims.csv	p8	1.0324	97.016	30.2822	1801	195
BD18_1408280844_ims.csv	p10	0.54782	7.534	227.039	959	15
BD18_1408280844_ims.csv	p11	0.98002	96.486	60.0168	1710	194
BD18_1408280844_ims.csv	p12	0.60652	102.429	38.886	1061	206
BD18_1408280844_ims.csv	p14	1.02779	96.486	31.4798	1793	194
BD18_1408280844_ims.csv	p15	0.95528	96.486	45.1043	1667	194
BD18_1408280844_ims.csv	p16	0.96161	96.486	45.1158	1678	194
BD18_1408280844_ims.csv	p18	0.94434	96.486	45.1395	1648	194
BD18_1408280844_ims.csv	p20	1.01628	96.486	36.0305	1773	194
BD18_1408280844_ims.csv	p21	0.84651	29.453	198.866	1478	59
