"t"	"r"
"0"	102.756	95.192
"1"	44.617	2.044
"2"	99.959	98.561
"3"	47.588	52.806
"4"	58.657	3.526
"5"	92.444	104.053
"6"	53.822	7.426
"7"	47.588	79.171
"8"	88.833	116.985
"9"	64.366	26.926
"10"	45.258	4.524
"11"	47.588	148.918
"12"	47.996	148.918
"13"	64.307	32.932
"14"	60.637	90.637
"15"	49.045	146.89
"16"	95.182	94.115
"17"	49.569	53.321
"18"	49.569	64.74
"19"	94.6	100.589
"20"	47.588	16.458
"21"	54.812	7.426
"22"	49.569	79.171
"23"	49.627	6.989
"24"	62.327	90.2
"25"	49.569	144.41
"26"	49.045	0.0
"27"	96.289	94.568
"28"	49.103	15.023
"29"	49.045	24.867
"30"	101.94	99.092
"31"	102.406	99.544
"32"	104.736	99.092
"33"	49.103	4.524
"34"	60.637	133.958
"35"	47.996	52.806
"36"	60.637	107.063
"37"	68.618	26.489
"38"	47.996	0.0
"39"	47.996	78.734
"40"	47.996	16.458
"41"	47.996	24.867
"42"	49.045	79.171
"43"	49.045	53.321
"44"	49.045	64.304
"45"	62.327	106.517
"46"	95.707	94.568
"47"	103.862	94.568
"48"	103.396	100.075
"49"	84.58	29.937
"50"	99.086	99.544
"51"	97.746	99.544
"52"	100.6	96.159
"53"	68.618	33.384
"54"	113.999	99.092
"55"	101.357	98.561
