"t"	"r"
"0"	103.794	96.261
"1"	58.811	4.025
"2"	49.753	6.49
"3"	95.643	96.986
"4"	94.041	99.965
"5"	98.06	96.986
"6"	96.172	93.475
"7"	103.017	97.454
"8"	54.831	7.473
"9"	93.892	95.995
"10"	99.332	95.238
"11"	101.779	95.73
"12"	92.597	101.721
"13"	95.993	96.744
"14"	84.651	29.344
"15"	94.329	93.039
"16"	95.302	93.999
"17"	60.595	103.912
"18"	60.753	106.97
"19"	114.099	97.454
"20"	47.893	0.0
"21"	79.586	3.479
"22"	84.653	29.313
"23"	69.055	4.025
"24"	60.753	89.497
"25"	64.451	27.846
"26"	64.496	31.356
