measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091659.csv	p1	0.4468	2.574	105.165	775	5
BD18_1510091659.csv	p2	1.04029	97.547	32.3781	1795	196
BD18_1510091659.csv	p9	1.00887	96.564	42.2204	1741	194
BD18_1510091659.csv	p11	1.04494	98.077	30.654	1803	197
BD18_1510091659.csv	p14	1.14037	96.127	69.2194	1967	193
BD18_1510091659.csv	p21	0.4887	24.929	186.593	847	50
BD18_1510091659.csv	p22	0.4887	15.974	203.001	847	32
BD18_1510091659.csv	p27	0.4887	0	207.53	847	0
BD18_1510091659.csv	p30	0.64289	26.863	324.092	1112	54
BD18_1510091659.csv	p31	0.9437	93.631	72.0262	1629	188
BD18_1510091659.csv	p36	0.45204	4.54	189.689	784	9
BD18_1510091659.csv	p37	0.47764	148.855	137.708	828	299
BD18_1510091659.csv	p40	0.49277	9.547	253.42	854	19
BD18_1510091659.csv	p41	0.49742	6.474	221.833	862	13
BD18_1510091659.csv	p43	0.49277	24.929	164.14	854	50
BD18_1510091659.csv	p45	0.97861	94.599	53.7459	1689	190
BD18_1510091659.csv	p46	1.00305	96.127	44.1724	1731	193
BD18_1510091659.csv	p48	0.58528	6.474	75.5108	1013	13
BD18_1510091659.csv	p51	0.49277	4.54	253.515	854	9
BD18_1510091659.csv	p52	1.02225	98.608	37.1822	1764	198
BD18_1510091659.csv	p55	0.64289	32.885	386.749	1112	66
BD18_1510091659.csv	p58	0.48229	146.328	594.912	836	294
BD18_1510091659.csv	p60	0.4887	148.855	217.28	847	299
BD18_1510091659.csv	p63	0.53641	7.004	55.795	929	14
BD18_1510091659.csv	p65	0.95999	99.123	51.4888	1657	199
BD18_1510091659.csv	p67	0.49277	148.855	203.404	854	299
BD18_1510091659.csv	p76	0.5079	145.33	40.3823	880	292
BD18_1510091659.csv	p77	0.51255	145.33	59.3427	888	292
BD18_1510091659.csv	p79	0.68885	83.117	42.825	1191	167
BD18_1510091659.csv	p83	0.62718	90.605	40.4666	1085	182
BD18_1510091659.csv	p86	0.60797	141.383	34.4546	1052	284
BD18_1510091659.csv	p87	0.54804	7.441	416.565	949	15
BD18_1510091659.csv	p89	0.60681	106.548	107.24	1050	214
BD18_1510091659.csv	p90	0.92392	103.569	108.719	1595	208
BD18_1510091659.csv	p91	0.47764	53.243	130.212	828	107
BD18_1510091659.csv	p92	1.02691	98.077	35.8753	1772	197
BD18_1510091659.csv	p93	0.47764	64.74	130.566	828	130
BD18_1510091659.csv	p94	0.88843	116.953	48.8233	1534	235
BD18_1510091659.csv	p96	0.9984	99.123	44.4232	1723	199
BD18_1510091659.csv	p99	0.96407	99.575	50.3563	1664	200
BD18_1510091659.csv	p105	0.62718	107.063	38.228	1085	215
BD18_1510091659.csv	p107	0.5079	64.225	41.5029	880	129
BD18_1510091659.csv	p111	0.5079	52.276	42.1066	880	105
BD18_1510091659.csv	p116	0.5079	78.156	39.4401	880	157
BD18_1510091659.csv	p122	0.51255	52.806	68.389	888	106
BD18_1510091659.csv	p123	0.51255	63.773	66.32	888	128
BD18_1510091659.csv	p128	0.47764	0	296.411	828	0
BD18_1510091659.csv	p129	0.47764	16.505	109.968	828	33
BD18_1510091659.csv	p130	0.97396	95.067	54.1409	1681	191
BD18_1510091659.csv	p135	0.5079	20.405	40.5606	880	41
BD18_1510091659.csv	p136	0.60681	90.605	95.4515	1050	182
BD18_1510091659.csv	p139	0.5079	0	69.2622	880	0
BD18_1510091659.csv	p140	0.84537	28.922	745.184	1460	58
BD18_1510091659.csv	p141	0.50848	12.464	65.0205	881	25
BD18_1510091659.csv	p142	0.51255	0	97.5759	888	0
BD18_1510091659.csv	p143	0.51255	3.557	42.0587	888	7
BD18_1510091659.csv	p144	0.68478	33.322	37.9721	1184	67
BD18_1510091659.csv	p145	0.9693	95.067	53.1388	1673	191
BD18_1510091659.csv	p147	0.51255	12.028	125.648	888	24
BD18_1510091659.csv	p149	0.48229	53.243	587.866	836	107
BD18_1510091659.csv	p150	0.51779	12.028	41.6883	897	24
BD18_1510091659.csv	p151	0.48229	65.192	589.097	836	131
BD18_1510091659.csv	p154	0.48229	0	732.914	836	0
BD18_1510091659.csv	p155	0.48229	16.505	533.338	836	33
BD18_1510091659.csv	p163	0.4887	53.243	210.604	847	107
BD18_1510091659.csv	p164	0.4887	65.192	211.237	847	131
BD18_1510091659.csv	p168	0.49277	83.117	172.036	854	167
BD18_1510091659.csv	p169	0.49277	53.243	196.751	854	107
BD18_1510091659.csv	p170	0.49277	65.192	195.712	854	131
BD18_1510091659.csv	p174	1.03563	96.127	33.3479	1787	193
BD18_1510091659.csv	p175	0.98327	96.127	51.699	1697	193
BD18_1510091659.csv	p177	1.01294	96.564	39.7	1748	194
