"t"	"r"
"0"	99.504 95.051
"1"	48.148 0.0
"2"	101.484 99.528
"3"	44.829 2.917
"4"	50.36 0.0
"5"	100.435 97.516
"6"	49.953 0.0
"7"	99.911 99.528
"8"	45.12 3.915
"9"	44.654 148.809
"10"	97.582 101.556
"11"	64.335 33.29
"12"	102.764 99.013
"13"	58.745 11.341
"14"	51.932 0.0
"15"	58.629 3.463
"16"	96.185 101.556
"17"	89.838 27.815
"18"	48.322 146.765
"19"	48.148 84.084
"20"	62.239 110.479
"21"	48.905 148.809
"22"	53.446 7.441
"23"	103.289 99.528
"24"	49.312 142.787
"25"	54.786 7.441
"26"	114.06 96.985
"27"	44.654 17.347
"28"	44.654 24.882
"29"	68.876 84.084
"30"	84.54 30.28
"31"	51.001 148.809
"32"	68.527 33.821
"33"	51.35 148.809
"34"	51.932 145.361
"35"	94.38 93.038
"36"	48.322 17.347
"37"	48.381 24.882
"38"	60.608 135.33
"39"	48.905 0.0
"40"	48.905 17.347
"41"	48.905 24.882
"42"	88.79 116.938
"43"	48.905 4.43
"44"	50.36 51.698
"45"	60.608 110.479
"46"	49.312 15.85
"47"	60.608 73.616
"48"	60.608 90.059
"49"	49.312 21.372
"50"	92.4 104.988
"51"	49.312 4.883
"52"	44.654 53.212
"53"	51.001 0.0
"54"	44.654 65.161
"55"	51.35 0.0
"56"	51.35 12.932
"57"	51.001 84.521
"58"	64.335 26.832
"59"	51.001 51.698
"60"	51.001 64.631
"61"	51.35 52.744
"62"	51.35 84.084
"63"	51.35 64.631
"64"	51.932 53.212
"65"	51.932 64.21
"66"	51.932 84.521
"67"	48.905 84.521
"68"	48.905 64.21
"69"	48.905 51.698
"70"	49.312 64.631
"71"	49.312 84.084
"72"	49.312 51.698
"73"	48.322 53.212
"74"	48.322 64.21
"75"	101.775 95.051
"76"	102.357 95.051
"77"	97.175 93.553
